eventID,year,month,day,hour,minute,second,longitude,latitude,depth,magnitude,sigmaMagnitude
249,2012,12,13,6,21,0,-731370,67850,146,2.7,2.7
250,2012,12,16,16,46,0,-731270,67880,141,3.2,3.2
251,2012,12,17,22,21,0,-731280,68140,146,3,3
252,2012,12,17,22,44,0,-731350,68200,145,3.1,3.1
253,2012,12,17,22,53,0,-732000,68580,145,2.5,2.5
254,2012,12,19,2,40,0,-731660,68170,141,3.7,3.7
255,2012,12,20,20,58,0,-731350,68370,147,3.5,3.5
256,2012,12,21,20,47,0,-731350,68060,145,3.1,3.1
257,2012,12,21,23,59,0,-731460,67990,147,3.2,3.2
258,2012,12,22,20,24,0,-731300,68330,150,3.5,3.5
259,2012,12,22,21,40,0,-731540,68310,145,3,3
260,2012,12,22,22,21,0,-731180,68240,146,3.3,3.3
261,2012,12,24,6,37,0,-731290,68250,148,3.1,3.1
262,2012,12,25,23,17,0,-731240,68100,149,3,3
263,2012,12,29,2,49,0,-731340,68020,148,3.1,3.1
264,2012,12,29,7,0,0,-729540,68940,186,3.3,3.3
265,2012,12,30,10,21,0,-731360,67770,148,3.1,3.1
266,2012,3,26,3,20,0,-731410,67990,148,3.6,3.6
267,2012,4,4,4,38,0,-731560,67920,144,3.2,3.2
268,2012,4,8,6,24,0,-731300,67750,146,3.2,3.2
269,2012,4,10,18,46,0,-731710,68200,141,3.8,3.8
270,2012,5,1,16,6,0,-731200,67950,151,3.7,3.7
271,2012,5,8,5,54,0,-731460,67920,150,3.2,3.2
272,2012,5,9,0,26,0,-731750,67700,136,3.1,3.1
273,2012,5,12,17,52,0,-731100,68070,150,3.3,3.3
274,2012,5,17,7,24,0,-731530,67920,139,3.1,3.1
275,2012,5,19,19,58,0,-731650,68060,141,3,3
276,2012,6,8,11,41,0,-731310,68320,144,3.9,3.9
277,2012,6,15,0,26,0,-731570,68020,146,3,3
278,2012,6,16,6,8,0,-731320,68340,146,3.3,3.3
279,2012,6,16,20,0,0,-731410,68070,140,3.1,3.1
280,2012,6,24,10,55,0,-731000,68100,145,3.1,3.1
281,2012,7,5,20,26,0,-731660,68150,144,4,4
282,2012,7,8,22,21,0,-731450,68080,148,3.7,3.7
283,2012,7,9,22,27,0,-731600,68170,138,3.8,3.8
284,2012,7,16,18,6,0,-731660,68030,145,3.1,3.1
285,2012,7,17,0,58,0,-731490,68110,142,3.1,3.1
286,2012,7,19,0,44,0,-731520,68060,146,3.8,3.8
287,2012,7,20,4,9,0,-731500,67910,146,3.1,3.1
288,2012,7,21,20,45,0,-731460,68000,142,3.1,3.1
289,2012,7,22,10,31,0,-731230,68200,144,3.1,3.1
290,2012,7,23,6,23,0,-731670,68440,145,3.2,3.2
291,2012,7,27,3,50,0,-731650,68410,141,3.3,3.3
292,2012,7,28,15,24,0,-731560,68030,139,3.2,3.2
293,2012,7,30,2,24,0,-731640,68180,136,3.1,3.1
294,2012,8,3,5,7,0,-731330,68310,149,3.2,3.2
295,2012,8,3,18,37,0,-731450,68240,150,3.7,3.7
296,2012,8,3,22,55,0,-731270,68000,151,3.2,3.2
297,2012,8,4,18,30,0,-731640,68370,142,3.5,3.5
298,2012,8,4,23,7,0,-731590,68360,142,3.5,3.5
299,2012,8,5,12,33,0,-731640,68150,144,3.4,3.4
300,2012,8,5,16,40,0,-731520,67960,147,3.6,3.6
301,2012,8,6,21,52,0,-731640,68050,143,3.3,3.3
302,2012,8,8,6,20,0,-731440,67660,145,3.2,3.2
303,2012,8,9,13,57,0,-731470,67870,140,3.1,3.1
304,2012,8,10,21,57,0,-731510,67930,146,3.2,3.2
305,2012,8,10,22,35,0,-731500,68120,147,4,4
306,2012,8,11,18,18,0,-731570,68020,145,2.8,2.8
307,2012,8,13,3,30,0,-731250,68220,143,3.4,3.4
308,2012,8,13,21,49,0,-731640,67680,140,3.2,3.2
309,2012,8,15,23,11,0,-731610,67990,146,3.2,3.2
310,2012,8,17,5,32,0,-731590,68230,144,3.4,3.4
311,2012,8,19,15,59,0,-731390,67900,148,3.1,3.1
312,2012,8,20,3,19,0,-731740,68060,145,3.4,3.4
313,2012,8,23,14,47,0,-731690,68060,140,3.1,3.1
314,2012,8,23,15,44,0,-731650,67960,147,3.2,3.2
315,2012,8,24,3,27,0,-731530,68110,144,3.8,3.8
316,2012,8,24,5,40,0,-731460,68140,144,3.3,3.3
317,2012,8,25,21,22,0,-731470,68250,147,3.5,3.5
318,2012,8,25,21,40,0,-731520,68190,146,3.5,3.5
319,2012,8,26,8,0,0,-731470,68210,144,3.5,3.5
320,2012,8,27,8,55,0,-731490,67930,148,3.6,3.6
321,2012,8,29,0,45,0,-731490,67910,146,3.3,3.3
322,2012,9,1,2,59,0,-731450,67900,147,3,3
323,2012,9,3,10,17,0,-731730,67970,143,3.5,3.5
324,2012,9,3,17,54,0,-731380,67760,144,3.2,3.2
325,2012,9,5,10,53,0,-731290,68020,147,3.6,3.6
326,2012,9,6,16,15,0,-731450,67890,141,3.4,3.4
327,2012,9,6,22,32,0,-731490,67980,140,2.9,2.9
328,2012,9,7,11,3,0,-731530,67830,140,3.9,3.9
329,2012,9,8,12,35,0,-731310,67750,147,3,3
330,2012,9,13,18,4,0,-731470,67960,148,3.2,3.2
331,2012,9,14,9,59,0,-731610,68020,148,3.1,3.1
332,2012,9,16,6,11,0,-731390,67430,141,3.1,3.1
333,2012,9,16,8,46,0,-731620,67690,143,3.3,3.3
334,2012,9,16,12,11,0,-731470,67850,146,3.3,3.3
335,2012,9,22,9,17,0,-731410,67850,140,3.3,3.3
336,2012,9,23,7,12,0,-731310,67910,147,3.3,3.3
337,2012,9,23,20,4,0,-731600,68340,142,3.4,3.4
338,2012,9,26,6,44,0,-731320,68050,147,3.1,3.1
339,2012,9,27,6,10,0,-731490,67450,146,2.9,2.9
340,2012,9,27,17,31,0,-730560,67710,142,3.2,3.2
341,2012,9,29,7,59,0,-731380,68170,145,3.4,3.4
342,2012,9,29,11,18,0,-731580,67250,146,3,3
343,2012,9,30,0,1,0,-731440,68200,148,3.7,3.7
344,2012,10,1,23,58,0,-731370,67850,147,3,3
345,2012,10,3,11,2,0,-731140,67790,145,2.7,2.7
346,2012,10,4,14,6,0,-731170,68050,148,3.3,3.3
347,2012,10,5,6,28,0,-731260,68060,144,3.2,3.2
348,2012,10,8,10,17,0,-731190,68100,148,3.4,3.4
349,2012,10,9,10,1,0,-731650,67830,145,2.8,2.8
350,2012,10,9,14,27,0,-731050,67860,147,3,3
351,2012,10,9,14,28,0,-731220,67800,144,2.7,2.7
352,2012,10,9,14,42,0,-731350,68010,149,3.8,3.8
353,2012,10,10,23,34,0,-731450,67870,145,3.4,3.4
354,2012,10,11,5,16,0,-731460,67910,147,3.5,3.5
355,2012,10,12,23,29,0,-731360,67900,140,3,3
356,2012,10,13,11,33,0,-731260,67740,145,3.2,3.2
357,2012,10,13,16,13,0,-731280,67830,140,3.1,3.1
358,2012,10,13,18,23,0,-731180,67790,143,3,3
359,2012,10,13,23,9,0,-731320,68020,147,3.4,3.4
360,2012,10,14,4,50,0,-731490,67890,150,3.1,3.1
361,2012,10,14,5,49,0,-731510,68300,142,3.4,3.4
362,2012,10,18,23,38,0,-731310,67990,141,3.6,3.6
363,2012,10,19,1,11,0,-731070,67930,141,2.9,2.9
364,2012,10,19,21,41,0,-731390,68000,146,3.5,3.5
365,2012,10,20,2,20,0,-731390,67900,142,2.9,2.9
366,2012,10,20,5,25,0,-731480,68180,144,3.1,3.1
367,2012,10,21,21,20,0,-731280,68440,140,3.4,3.4
368,2012,10,24,22,53,0,-731460,68190,143,3.2,3.2
369,2012,10,25,22,25,0,-731460,68080,148,3.3,3.3
370,2012,10,26,0,0,0,-731140,68070,145,3.2,3.2
371,2012,10,26,6,31,0,-731240,67990,145,3.1,3.1
372,2012,10,27,8,3,0,-731350,68050,148,3.4,3.4
373,2012,10,27,22,59,0,-731180,68150,143,3.1,3.1
374,2012,10,28,8,28,0,-731280,68280,144,3.4,3.4
375,2012,10,29,15,15,0,-731230,68020,146,3.4,3.4
376,2012,10,30,0,55,0,-731080,67860,144,3.1,3.1
377,2012,10,30,3,9,0,-731330,68010,148,3.3,3.3
378,2012,10,30,3,30,0,-731280,67940,140,3.1,3.1
379,2012,11,1,1,10,0,-731440,68130,141,3,3
380,2012,11,1,4,3,0,-731150,67940,146,3.2,3.2
381,2012,11,3,2,32,0,-731160,68080,147,3.3,3.3
382,2012,11,5,1,54,0,-731210,67850,146,3.1,3.1
383,2012,11,5,3,28,0,-731480,68040,145,3.3,3.3
384,2012,11,5,3,33,0,-731430,68120,144,3.3,3.3
385,2012,11,5,5,45,0,-731260,68030,147,2.7,2.7
386,2012,11,5,6,7,0,-731320,67870,140,2.6,2.6
387,2012,11,5,8,5,0,-731210,68130,137,2.7,2.7
388,2012,11,5,9,58,0,-731450,68020,144,3.2,3.2
389,2012,11,5,13,58,0,-731250,67920,144,3.2,3.2
390,2012,11,6,13,21,0,-730900,68090,151,3.4,3.4
391,2012,11,7,1,21,0,-731110,69150,145,2.7,2.7
392,2012,11,7,8,38,0,-731690,68350,143,3.2,3.2
393,2012,11,8,0,4,0,-731320,68370,143,3,3
394,2012,11,8,1,49,0,-731530,67780,146,3,3
395,2012,11,8,2,3,0,-731630,68180,140,3.2,3.2
396,2012,11,8,3,10,0,-731730,68160,149,2.5,2.5
397,2012,11,8,16,32,0,-731430,67820,147,3.4,3.4
398,2012,11,10,3,27,0,-731600,68240,143,3.1,3.1
399,2012,11,12,12,42,0,-731520,68010,144,2.6,2.6
400,2012,11,13,1,53,0,-731350,67980,145,3.1,3.1
401,2012,11,13,11,14,0,-731150,67840,154,2.6,2.6
402,2012,11,14,10,6,0,-731620,67490,146,2.3,2.3
403,2012,11,14,10,53,0,-731410,68090,141,2.8,2.8
404,2012,11,14,11,17,0,-731370,67980,139,3.1,3.1
405,2012,11,14,13,34,0,-731530,67930,142,2.9,2.9
406,2012,11,14,13,36,0,-731450,68160,143,3.4,3.4
407,2012,11,14,14,12,0,-731420,68060,148,3.2,3.2
408,2012,11,14,17,30,0,-731500,68100,147,2.9,2.9
409,2012,11,14,20,55,0,-731610,68220,144,3.4,3.4
410,2012,11,15,15,23,0,-731780,67560,145,2.6,2.6
411,2012,11,15,17,59,0,-731580,68050,141,3,3
412,2012,11,16,10,33,0,-732140,68380,146,3,3
413,2012,11,16,18,33,0,-731400,68230,144,3.2,3.2
